_id,SUBSCRIPTION_DATE,SUBSCRIPTION_COUNTY,SUBSCRIBER_DOMESTIC_FOREIGN,LONGITUDE,LATITUDE,NUMBER_OF_SUBSCRIBER
13638,2019-06-12,AVCILAR,Yerli,28.725479,40.985393,3
13639,2020-03-23,BAŞAKŞEHİR,Yerli,29.011473,41.080041,1
13640,2018-09-29,KÜÇÜKÇEKMECE,Yerli,28.794331,41.009652,2
13641,2018-09-19,SANCAKTEPE,Yerli,29.245335,41.015681,1
13642,2019-09-28,BEŞİKTAŞ,Yerli,29.00736,41.041218,1
13643,2017-12-11,BEYOĞLU,Yabancı,28.989684,41.031331,1
13644,2018-07-29,EYÜP SULTAN,Yerli,28.933511,41.047359,24
13645,2018-09-04,FATİH,Yerli,28.941171,41.017758,1
13646,2019-10-11,ŞİŞLİ,Yerli,28.989035,41.057795,3
13647,2019-10-12,EYÜP SULTAN,Yerli,28.921595,41.080995,1
13648,2018-02-22,ÜMRANİYE,Yerli,29.105734,41.017041,1
13649,2019-03-15,BAKIRKÖY,Yerli,28.820556,40.978551,2
13650,2018-10-06,BAKIRKÖY,Yerli,28.884828,40.999602,1
13651,2018-01-31,KARTAL,Yerli,29.187151,40.888024,2
13652,2019-07-12,BEYKOZ,Yerli,29.054429,41.082919,1
13653,2018-11-30,İSTANBUL,Yabancı,28.58272,41.01418,3
13654,2019-02-20,BEYOĞLU,Yerli,28.94027,41.04725,1
13655,2019-01-25,ZEYTİNBURNU,Yerli,28.920379,40.990971,1
13656,2019-12-25,ESENLER,Yerli,28.873136,41.053895,7
13657,2019-03-23,KARTAL,Yerli,29.189967,40.892454,7
13658,2018-04-30,BEYOĞLU,Yerli,28.989684,41.031331,2
13659,2019-02-24,ESENLER,Yerli,28.873136,41.053895,2
13660,2018-02-11,EYÜP SULTAN,Yerli,28.948922,41.082908,1
13661,2017-10-31,BAKIRKÖY,Yabancı,28.820556,40.978551,6
13662,2019-05-03,BEYOĞLU,Yerli,28.94027,41.04725,1
13663,2019-08-11,ESENLER,Yerli,28.888605,41.037593,2
13664,2017-12-27,ÇEKMEKÖY,Yerli,29.338858,41.077425,1
13665,2019-11-19,AVCILAR,Yerli,28.705535,40.995034,1
13666,2018-12-12,EYÜP SULTAN,Yerli,28.948922,41.082908,2
13667,2019-01-29,EYÜP SULTAN,Yerli,28.921595,41.080995,2
13668,2018-12-29,İSTANBUL,Yerli,28.58272,41.01418,1
13669,2020-02-07,BAKIRKÖY,Yerli,28.884828,40.999602,2
13670,2019-03-09,KÜÇÜKÇEKMECE,Yerli,28.472943,41.033105,2
13671,2019-04-10,KÜÇÜKÇEKMECE,Yerli,28.788922,40.987307,1
13672,2017-10-05,BEYOĞLU,Yerli,28.94027,41.04725,1
13673,2019-12-04,EYÜP SULTAN,Yabancı,28.933511,41.047359,1
13674,2019-07-16,ŞİŞLİ,Yerli,28.981998,41.068341,3
13675,2019-02-21,AVCILAR,Yerli,28.725479,40.985393,3
13676,2018-08-23,İSTANBUL,Yerli,28.58272,41.01418,34
13677,2019-06-10,BAŞAKŞEHİR,Yerli,29.011473,41.080041,1
13678,2018-07-01,SULTANGAZİ,Yerli,28.88001,41.10769,1
13679,2016-08-15,KAĞITHANE,Yerli,28.573054,41.035648,1
13680,2019-10-18,KARTAL,Yerli,29.189967,40.892454,1
13681,2019-06-09,ESENLER,Yerli,28.873136,41.053895,2
13682,2018-09-01,BAKIRKÖY,Yabancı,28.820556,40.978551,9
13683,2019-12-28,SANCAKTEPE,Yerli,29.245335,41.015681,2
13684,2019-05-12,MALTEPE,Bilinmiyor,29.121198,40.924531,1
13685,2020-09-19,KÜÇÜKÇEKMECE,Yerli,28.472943,41.033105,1
13686,2018-04-17,EYÜP SULTAN,Yerli,28.926066,41.083861,2
13687,2018-09-27,SULTANGAZİ,Yerli,28.88001,41.10769,1
13688,2018-04-14,KARTAL,Yerli,29.189967,40.892454,6
13689,2018-11-03,İSTANBUL,Yerli,28.58272,41.01418,24
13690,2018-01-28,BAKIRKÖY,Yabancı,28.820556,40.978551,8
13691,2019-10-02,KARTAL,Yerli,29.189967,40.892454,7
13692,2018-01-01,BEYOĞLU,Yerli,28.94027,41.04725,1
13693,2019-07-30,SARIYER,Yerli,29.051827,41.124858,1
13694,2019-04-08,SANCAKTEPE,Yerli,29.233057,40.978484,4
13695,2018-03-18,ESENLER,Yerli,28.873136,41.053895,4
13696,2019-04-01,BAKIRKÖY,Yerli,28.820556,40.978551,3
13697,2017-12-07,KARTAL,Yerli,29.187151,40.888024,2
13698,2019-02-12,BAKIRKÖY,Yerli,28.884828,40.999602,4
13699,2019-02-23,EYÜP SULTAN,Yerli,28.948922,41.082908,1
13700,2017-12-15,BAKIRKÖY,Yerli,28.820556,40.978551,2
13701,2020-01-09,MALTEPE,Yerli,29.121198,40.924531,2
13702,2018-04-12,ÜMRANİYE,Yerli,29.105734,41.017041,3
13703,2020-05-06,BEYOĞLU,Yerli,28.582684,41.012259,1
13704,2019-01-25,ÜMRANİYE,Yerli,29.105734,41.017041,3
13705,2019-07-06,KARTAL,Yerli,29.189967,40.892454,9
13706,2019-10-11,AVCILAR,Yerli,28.725479,40.985393,1
13707,2019-09-21,AVCILAR,Yabancı,28.721885,40.981178,1
13708,2018-01-27,EYÜP SULTAN,Yerli,28.933511,41.047359,1
13709,2018-06-21,BAKIRKÖY,Yabancı,28.820556,40.978551,8
13710,2019-10-19,AVCILAR,Yerli,28.731161,40.980151,1
13711,2018-07-27,KARTAL,Yerli,29.187151,40.888024,4
13712,2019-07-15,AVCILAR,Yerli,28.705535,40.995034,1
13713,2019-04-02,AVCILAR,Yerli,28.725479,40.985393,2
13714,2019-04-25,FATİH,Yerli,28.945011,41.009663,2
13715,2019-01-30,İSTANBUL,Yerli,28.58272,41.01418,32
13716,2018-12-11,BEYOĞLU,Yerli,28.94027,41.04725,2
13717,2019-04-16,SANCAKTEPE,Yerli,29.120662,41.011656,1
13718,2019-01-03,KARTAL,Yerli,29.189967,40.892454,6
13719,2019-04-02,KÜÇÜKÇEKMECE,Yerli,28.80303,41.030465,6
13720,2019-07-24,ŞİŞLİ,Yerli,29.011473,41.080041,1
13721,2018-04-30,BAKIRKÖY,Yerli,28.884828,40.999602,1
13722,2018-10-30,EYÜP SULTAN,Yabancı,28.933511,41.047359,3
13723,2020-03-10,BAKIRKÖY,Yerli,28.884828,40.999602,7
13724,2019-09-24,BAKIRKÖY,Yerli,28.863824,40.986566,3
13725,2019-08-27,BAKIRKÖY,Yabancı,28.820556,40.978551,1
13726,2018-10-18,EYÜP SULTAN,Yerli,28.948922,41.082908,2
13727,2018-10-15,FATİH,Yerli,28.972482,41.007712,1
13728,2018-08-29,BEYOĞLU,Yerli,28.989684,41.031331,3
13729,2019-01-10,EYÜP SULTAN,Yabancı,28.933511,41.047359,3
13730,2020-03-21,MALTEPE,Yerli,29.121198,40.924531,8
13731,2019-08-17,ŞİŞLİ,Yerli,28.989035,41.057795,2
13732,2019-11-27,SARIYER,Yerli,29.055617,41.143438,1
13733,2018-01-13,ÇEKMEKÖY,Yerli,29.338858,41.077425,1
13734,2020-02-01,ŞİŞLİ,Yerli,28.986104,41.066846,1
13735,2018-05-29,ESENLER,Yerli,28.873136,41.053895,5
13736,2019-12-29,KARTAL,Yerli,29.189967,40.892454,7
13737,2018-07-14,EYÜP SULTAN,Yerli,28.926066,41.083861,1
13738,2018-09-29,BAKIRKÖY,Yerli,28.820556,40.978551,4
13739,2019-07-16,ŞİŞLİ,Yerli,28.986104,41.066846,1
13740,2018-06-30,ESENLER,Yerli,28.873136,41.053895,1
13741,2019-03-24,FATİH,Yerli,28.972482,41.007712,1
13742,2020-01-31,AVCILAR,Yerli,28.705535,40.995034,1
13743,2018-10-31,BÜYÜKÇEKMECE,Yerli,28.46788,41.03992,1
13744,2018-12-17,SANCAKTEPE,Yerli,29.233057,40.978484,1
13745,2017-12-20,BEŞİKTAŞ,Yerli,29.011161,41.085842,2
13746,2017-12-03,BAKIRKÖY,Yabancı,28.820556,40.978551,5
13747,2018-05-16,FATİH,Yerli,28.941171,41.017758,3
13748,2018-10-07,KARTAL,Yerli,29.189967,40.892454,3
13749,2019-03-31,SANCAKTEPE,Yerli,29.120662,41.011656,1
13750,2019-04-05,BAKIRKÖY,Yabancı,28.820556,40.978551,3
13751,2018-08-11,SANCAKTEPE,Yerli,29.245335,41.015681,1
13752,2017-11-01,BAKIRKÖY,Yabancı,28.820556,40.978551,5
13753,2018-10-26,EYÜP SULTAN,Yerli,28.933511,41.047359,6
13754,2019-06-22,ŞİŞLİ,Yerli,28.989035,41.057795,1
13755,2019-01-28,KÜÇÜKÇEKMECE,Yerli,28.796872,41.044715,6
13756,2018-10-22,SANCAKTEPE,Yerli,29.245335,41.015681,3
13757,2019-02-23,MALTEPE,Yerli,29.121198,40.924531,1
13758,2018-02-13,BAKIRKÖY,Yabancı,28.820556,40.978551,3
13759,2019-02-20,BAKIRKÖY,Yerli,28.863824,40.986566,3
13760,2019-04-03,ŞİŞLİ,Yerli,29.011473,41.080041,1
13761,2019-01-06,EYÜP SULTAN,Yerli,28.933511,41.047359,4
13762,2019-10-03,AVCILAR,Yerli,28.731161,40.980151,1
13763,2019-12-13,BAKIRKÖY,Yerli,28.884828,40.999602,5
13764,2019-08-20,ESENLER,Yerli,28.873136,41.053895,1
13765,2018-09-21,KARTAL,Yerli,29.189967,40.892454,2
13766,2019-08-31,SARIYER,Yerli,28.890811,41.002993,1
13767,2019-02-11,İSTANBUL,Yabancı,28.58272,41.01418,1
13768,2019-04-27,ŞİŞLİ,Yerli,28.989035,41.057795,2
13769,2019-10-19,MALTEPE,Bilinmiyor,29.121198,40.924531,1
13770,2019-08-07,KARTAL,Yerli,29.189967,40.892454,4
13771,2019-10-04,ŞİŞLİ,Yerli,29.011473,41.080041,4
13772,2019-09-08,SARIYER,Yerli,29.052015,41.106615,4
13773,2019-11-14,MALTEPE,Yerli,29.121198,40.924531,4
13774,2018-11-12,BAKIRKÖY,Yabancı,28.820556,40.978551,6
13775,2018-09-14,BEYOĞLU,Yerli,28.94027,41.04725,1
13776,2018-01-15,EYÜP SULTAN,Yabancı,28.933511,41.047359,1
13777,2020-03-10,KARTAL,Yerli,29.161455,40.905838,3
13778,2019-11-16,ESENLER,Yerli,28.873136,41.053895,6
13779,2019-01-14,İSTANBUL,Yerli,28.58272,41.01418,12
13780,2019-06-11,ZEYTİNBURNU,Yerli,28.928849,40.995733,1
13781,2019-05-29,ŞİŞLİ,Yerli,29.011473,41.080041,1
13782,2018-09-18,BEŞİKTAŞ,Yerli,29.011161,41.085842,1
13783,2019-09-18,ŞİŞLİ,Yerli,28.989035,41.057795,6
13784,2018-05-15,BEYKOZ,Yerli,29.138382,41.075281,1
13785,2018-11-25,AVCILAR,Yerli,28.705535,40.995034,3
13786,2018-04-10,BAKIRKÖY,Yabancı,28.820556,40.978551,8
13787,2018-03-04,SANCAKTEPE,Yerli,29.245335,41.015681,2
13788,2019-10-13,MALTEPE,Yerli,29.121198,40.924531,34
13789,2019-04-12,MALTEPE,Yerli,29.121198,40.924531,2
13790,2019-04-24,SANCAKTEPE,Yerli,29.233057,40.978484,6
13791,2019-08-06,BEYKOZ,Yerli,29.138382,41.075281,2
13792,2019-06-20,SARIYER,Yerli,28.890811,41.002993,1
13793,2019-07-29,EYÜP SULTAN,Yabancı,28.933511,41.047359,4
13794,2018-12-18,KARTAL,Yerli,29.189967,40.892454,2
13795,2018-06-12,İSTANBUL,Yerli,28.58272,41.01418,13
13796,2018-07-26,MALTEPE,Yabancı,29.121198,40.924531,1
13797,2019-10-11,KAĞITHANE,Yerli,28.573054,41.035648,4
13798,2018-08-09,BEŞİKTAŞ,Yerli,29.011161,41.085842,1
13799,2018-11-01,KAĞITHANE,Yerli,28.922037,41.004253,1
13800,2018-05-03,EYÜP SULTAN,Yerli,28.926066,41.083861,1
13801,2018-08-05,KÜÇÜKÇEKMECE,Yerli,28.794331,41.009652,1
13802,2018-03-12,EYÜP SULTAN,Yabancı,28.933511,41.047359,2
13803,2019-07-27,BEYOĞLU,Yabancı,28.582684,41.012259,1
13804,2017-10-04,BAKIRKÖY,Yerli,28.820556,40.978551,2
13805,2019-03-13,BEŞİKTAŞ,Yerli,29.00736,41.041218,1
13806,2019-11-20,AVCILAR,Yerli,28.725479,40.985393,2
13807,2019-06-16,ATAŞEHİR,Yerli,29.147233,40.977902,1
13808,2019-05-11,KARTAL,Yerli,29.189967,40.892454,1
13809,2019-03-01,AVCILAR,Yerli,28.731161,40.980151,1
13810,2018-03-10,BEYOĞLU,Yabancı,28.989684,41.031331,2
13811,2017-12-26,EYÜP SULTAN,Yerli,28.933511,41.047359,3
13812,2020-01-31,AVCILAR,Yerli,28.725479,40.985393,1
13813,2019-12-13,SARIYER,Yerli,28.890811,41.002993,1
13814,2017-10-05,KÜÇÜKÇEKMECE,Yerli,28.794331,41.009652,2
13815,2018-05-31,BAĞCILAR,Yerli,28.870054,41.033384,4
13816,2019-06-17,ESENLER,Yerli,28.888605,41.037593,1
13817,2019-03-08,SARIYER,Yerli,29.051827,41.124858,1
13818,2018-11-04,GAZİOSMANPAŞA,Yerli,28.912558,41.06034,2
13819,2019-09-15,SANCAKTEPE,Yerli,29.245335,41.015681,8
13820,2019-06-28,FATİH,Yerli,28.953279,41.016831,2
13821,2020-03-26,FATİH,Yerli,28.951582,41.005137,2
13822,2019-06-15,EYÜP SULTAN,Yerli,28.933511,41.047359,18
13823,2018-04-22,BAKIRKÖY,Yerli,28.820556,40.978551,6
13824,2019-04-14,ESENLER,Yerli,28.873136,41.053895,3
13825,2019-09-21,BAYRAMPAŞA,Yerli,28.89269,41.03853,1
13826,2018-09-08,EYÜP SULTAN,Yerli,28.921595,41.080995,1
13827,2019-07-09,EYÜP SULTAN,Yerli,28.921595,41.080995,5
13828,2019-03-22,ŞİŞLİ,Yabancı,29.011473,41.080041,1
13829,2019-11-10,SANCAKTEPE,Yerli,29.233057,40.978484,1
13830,2017-11-29,BAKIRKÖY,Yerli,28.820556,40.978551,3
13831,2019-04-15,BAŞAKŞEHİR,Yerli,29.011473,41.080041,1
13832,2020-02-23,KARTAL,Yerli,29.161455,40.905838,4
13833,2018-10-27,BAKIRKÖY,Yabancı,28.820556,40.978551,3
13834,2019-02-04,BAKIRKÖY,Yerli,28.863824,40.986566,1
13835,2019-12-06,AVCILAR,Yerli,28.725479,40.985393,1
13836,2019-03-16,KARTAL,Yerli,29.189967,40.892454,7
13837,2018-07-18,EYÜP SULTAN,Yabancı,28.933511,41.047359,1
13838,2019-02-21,KAĞITHANE,Yerli,28.922037,41.004253,4
13839,2019-01-07,BAKIRKÖY,Yabancı,28.820556,40.978551,9
13840,2019-08-15,EYÜP SULTAN,Yabancı,28.933511,41.047359,5
13841,2018-01-20,EYÜP SULTAN,Yerli,28.948922,41.082908,1
13842,2019-07-10,İSTANBUL,Yerli,28.58272,41.01418,2
13843,2019-09-02,KÜÇÜKÇEKMECE,Yerli,28.472943,41.033105,1
13844,2019-05-18,ŞİŞLİ,Yabancı,29.011473,41.080041,1
13845,2019-10-19,KARTAL,Yerli,29.189967,40.892454,3
13846,2018-01-25,FATİH,Yerli,28.941171,41.017758,3
13847,2018-02-17,SANCAKTEPE,Yerli,29.233057,40.978484,2
13848,2020-03-10,SANCAKTEPE,Yerli,29.245335,41.015681,1
13849,2018-06-05,EYÜP SULTAN,Yerli,28.926066,41.083861,1
13850,2019-03-23,BAŞAKŞEHİR,Yerli,29.011473,41.080041,1
13851,2020-03-11,SARIYER,Yerli,29.055617,41.143438,1
13852,2018-05-28,EYÜP SULTAN,Yerli,28.948922,41.082908,2
13853,2018-12-15,BAKIRKÖY,Yabancı,28.820556,40.978551,6
13854,2019-12-19,ESENLER,Yerli,28.873136,41.053895,7
13855,2019-04-13,EYÜP SULTAN,Yerli,28.948922,41.082908,2
13856,2018-10-07,SANCAKTEPE,Yerli,29.245335,41.015681,3
13857,2018-09-27,ESENLER,Yerli,28.873136,41.053895,3
13858,2019-01-12,BAKIRKÖY,Yerli,28.820556,40.978551,5
13859,2019-09-10,KÜÇÜKÇEKMECE,Yerli,28.80303,41.030465,2
